Rank,Occurrences,Lemma,ENGLISH
1,100210912,の,of
2,48486620,に,to
3,45359475,を,of
4,44889871,は,teeth
5,36248501,年,Year
6,35947527,が,but
7,33512205,た,Ta
8,31990565,で,in
9,30603437,て,hand
10,27106309,と,and
11,25876681,し,death
12,22100273,月,Month
13,19498084,日,Day
14,13622644,れ,Re
15,13476266,さ,difference
16,12525647,者,person
17,11437408,する,do
18,10751257,も,too
19,10560217,ます,Masu
20,10474017,利用,use
21,8758344,こと,thing
22,8719101,ある,be
23,8447518,いる,There is
24,8403153,な,Na
25,7117470,から,from
26,6821996,い,stomach
27,6511289,ない,do not have
28,5975399,ページ,page
29,5552379,第,No.
30,4915429,へ,fart
31,4864865,や,or
32,4802145,日本,Japan
33,4730669,として,as
34,4603205,です,is
35,4517292,か,mosquito
36,4511440,会話,conversation
37,4399572,削除,delete
38,4319178,この,this
39,4237886,市,city
40,4172373,県,prefecture
41,4087004,れる,be able to
42,3994018,あり,can be
43,3927661,ん,yeah
44,3592448,よう,Yo
45,3527457,ため,For
46,3512391,的,target
47,3499589,編集,edit
48,3487583,ください,please
49,3446854,人,Man
50,3393215,という,That's called
51,3164644,など,Such
52,3077750,依頼,request
53,3075241,なっ,What?
54,2915854,名,given name
55,2911015,版,edition
56,2899015,でき,Can be done
57,2855370,ませ,Let's not
58,2841040,リンク,Link
59,2785996,駅,station
60,2618516,記事,article
61,2582555,‐,-
62,2580463,について,about
63,2561249,う,cormorant
64,2478738,その,the
65,2429116,もの,thing
66,2427826,投稿,Post
67,2377443,ば,Ba
68,2324190,町,town
69,2303818,まし,Better
70,2202929,なる,Become
71,2178072,場合,case
72,2114640,あっ,Ah
73,2104611,ノート,Note
74,2071352,号,issue
75,2053308,方針,policy
76,2030286,回,times
77,2007230,さん,Mr. Miss.
78,1984782,まで,to
79,1984114,だ,is
80,1955319,中,During ~
81,1935849,ので,So
82,1930524,一,one
83,1929684,放送,broadcast
84,1895699,後,rear
85,1830729,おり,cage
86,1823937,人物,person
87,1790311,署名,signature
88,1770654,本,Book
89,1766401,において,in
90,1754259,家,House
91,1733749,られ,Rare
92,1703312,また,Also
93,1687559,選手,player
